data	close
05-10-2014	4.89
05-10-2014	4.71
05-10-2014	4.64
05-09-2014	4.56
05-08-2014	4.73
05-06-2014	4.11
05-05-2014	4.14
05-02-2014	4.99
05-02-2014	4.95
05-01-2014	5.0
04-29-2014	4.18
04-29-2014	4.74
04-29-2014	4.34
04-27-2014	4.94
04-27-2014	4.9
04-26-2014	4.7
04-20-2014	5.0
04-18-2014	3.21
04-17-2014	4.74
04-17-2014	4.81
04-16-2014	4.78
04-16-2014	4.98
04-16-2014	4.75
04-15-2014	4.49
04-14-2014	4.25
04-13-2014	4.89
04-12-2014	4.35
04-09-2014	4.85
04-08-2014	4.89
04-05-2014	4.23
04-05-2014	4.99
04-05-2014	5.0
04-05-2014	5.0
04-05-2014	4.88
04-04-2014	4.8
04-04-2014	4.94
04-03-2014	4.66
04-03-2014	4.63
04-03-2014	4.6
04-03-2014	4.65
03-31-2014	4.69
03-31-2014	4.98
03-28-2014	2.98
03-27-2014	4.88
03-27-2014	4.61
03-27-2014	4.7
03-24-2014	4.85
03-23-2014	4.53
03-23-2014	5.0
03-23-2014	5.0
03-21-2014	4.99
03-21-2014	3.7
03-18-2014	5.0
03-18-2014	4.86
03-17-2014	4.91
03-16-2014	4.96
03-16-2014	4.6
03-15-2014	4.94
03-14-2014	4.73
03-11-2014	4.39
03-11-2014	5.0
03-08-2014	5.0
03-08-2014	4.0
03-08-2014	4.0
03-05-2014	4.65
03-05-2014	5.0
03-05-2014	4.85
03-05-2014	4.93
03-04-2014	5.0
03-03-2014	5.0
03-02-2014	4.79
03-02-2014	4.66
03-02-2014	4.89
03-01-2014	5.0
03-01-2014	4.88
02-28-2014	5.0
02-28-2014	3.99
02-28-2014	5.0
02-27-2014	4.9
02-27-2014	4.33
02-26-2014	5.0
02-26-2014	4.91
02-25-2014	4.74
02-24-2014	5.0
02-24-2014	4.76
02-23-2014	4.64
02-22-2014	4.99
02-17-2014	4.43
02-13-2014	4.4
02-13-2014	4.58
02-13-2014	4.93
02-12-2014	4.7
02-11-2014	4.99
02-11-2014	4.89
02-10-2014	4.69
02-10-2014	4.88
02-09-2014	4.71
02-08-2014	4.83
02-06-2014	4.53
02-05-2014	4.88
02-05-2014	4.8
02-03-2014	4.94
02-02-2014	4.85
02-02-2014	5.0
02-01-2014	4.66
01-31-2014	4.98
01-30-2014	5.0
01-29-2014	5.0
01-29-2014	4.71
01-27-2014	4.91
01-27-2014	4.74
01-26-2014	4.93
01-25-2014	4.81
01-25-2014	4.84
01-25-2014	4.74
01-24-2014	4.74
01-21-2014	4.96
01-16-2014	5.0
01-16-2014	5.0
01-15-2014	4.85
01-14-2014	5.0
01-14-2014	4.84
01-14-2014	4.74
01-13-2014	4.95
01-12-2014	3.73
01-11-2014	4.71
01-09-2014	4.26
01-08-2014	4.83
01-07-2014	4.78
01-06-2014	4.21
01-05-2014	4.73
01-04-2014	4.94
01-04-2014	4.71
01-02-2014	4.96
12-31-2013	4.64
12-30-2013	4.48
12-30-2013	4.14
12-30-2013	4.54
12-30-2013	4.89
12-29-2013	3.91
12-27-2013	4.98
12-27-2013	4.48
12-26-2013	5.0
12-26-2013	4.96
12-26-2013	4.96
12-24-2013	4.9
12-23-2013	4.99
12-22-2013	5.0
12-21-2013	3.59
12-21-2013	4.49
12-20-2013	5.0
12-20-2013	4.66
12-20-2013	4.09
12-19-2013	5.0
12-19-2013	4.04
12-18-2013	5.0
12-18-2013	4.33
12-13-2013	4.95
12-11-2013	4.99
12-11-2013	4.5
12-10-2013	4.91
12-09-2013	5.0
12-07-2013	4.14
12-07-2013	4.64
12-07-2013	4.8
12-07-2013	4.1
